Country,"1990 - Population below $1 (PPP) per day, percentage","1991 - Population below $1 (PPP) per day, percentage","1992 - Population below $1 (PPP) per day, percentage","1993 - Population below $1 (PPP) per day, percentage","1994 - Population below $1 (PPP) per day, percentage","1995 - Population below $1 (PPP) per day, percentage","1996 - Population below $1 (PPP) per day, percentage","1997 - Population below $1 (PPP) per day, percentage","1998 - Population below $1 (PPP) per day, percentage","1999 - Population below $1 (PPP) per day, percentage","2000 - Population below $1 (PPP) per day, percentage","2001 - Population below $1 (PPP) per day, percentage","2002 - Population below $1 (PPP) per day, percentage","2003 - Population below $1 (PPP) per day, percentage","2004 - Population below $1 (PPP) per day, percentage","2005 - Population below $1 (PPP) per day, percentage","2006 - Population below $1 (PPP) per day, percentage","2007 - Population below $1 (PPP) per day, percentage","2008 - Population below $1 (PPP) per day, percentage","2009 - Population below $1 (PPP) per day, percentage","2010 - Population below $1 (PPP) per day, percentage","2011 - Population below $1 (PPP) per day, percentage","2012 - Population below $1 (PPP) per day, percentage","1990 - Poverty gap ratio at $1 a day (PPP), percentage","1991 - Poverty gap ratio at $1 a day (PPP), percentage","1992 - Poverty gap ratio at $1 a day (PPP), percentage","1993 - Poverty gap ratio at $1 a day (PPP), percentage","1994 - Poverty gap ratio at $1 a day (PPP), percentage","1995 - Poverty gap ratio at $1 a day (PPP), percentage","1996 - Poverty gap ratio at $1 a day (PPP), percentage","1997 - Poverty gap ratio at $1 a day (PPP), percentage","1998 - Poverty gap ratio at $1 a day (PPP), percentage","1999 - Poverty gap ratio at $1 a day (PPP), percentage","2000 - Poverty gap ratio at $1 a day (PPP), percentage","2001 - Poverty gap ratio at $1 a day (PPP), percentage","2002 - Poverty gap ratio at $1 a day (PPP), percentage","2003 - Poverty gap ratio at $1 a day (PPP), percentage","2004 - Poverty gap ratio at $1 a day (PPP), percentage","2005 - Poverty gap ratio at $1 a day (PPP), percentage","2006 - Poverty gap ratio at $1 a day (PPP), percentage","2007 - Poverty gap ratio at $1 a day (PPP), percentage","2008 - Poverty gap ratio at $1 a day (PPP), percentage","2009 - Poverty gap ratio at $1 a day (PPP), percentage","2010 - Poverty gap ratio at $1 a day (PPP), percentage","2011 - Poverty gap ratio at $1 a day (PPP), percentage","2012 - Poverty gap ratio at $1 a day (PPP), percentage","1990 - Poorest quintile's share in national income or consumption, percentage","1991 - Poorest quintile's share in national income or consumption, percentage","1992 - Poorest quintile's share in national income or consumption, percentage","1993 - Poorest quintile's share in national income or consumption, percentage","1994 - Poorest quintile's share in national income or consumption, percentage","1995 - Poorest quintile's share in national income or consumption, percentage","1996 - Poorest quintile's share in national income or consumption, percentage","1997 - Poorest quintile's share in national income or consumption, percentage","1998 - Poorest quintile's share in national income or consumption, percentage","1999 - Poorest quintile's share in national income or consumption, percentage","2000 - Poorest quintile's share in national income or consumption, percentage","2001 - Poorest quintile's share in national income or consumption, percentage","2002 - Poorest quintile's share in national income or consumption, percentage","2003 - Poorest quintile's share in national income or consumption, percentage","2004 - Poorest quintile's share in national income or consumption, percentage","2005 - Poorest quintile's share in national income or consumption, percentage","2006 - Poorest quintile's share in national income or consumption, percentage","2007 - Poorest quintile's share in national income or consumption, percentage","2008 - Poorest quintile's share in national income or consumption, percentage","2009 - Poorest quintile's share in national income or consumption, percentage","2010 - Poorest quintile's share in national income or consumption, percentage","2011 - Poorest quintile's share in national income or consumption, percentage","2012 - Poorest quintile's share in national income or consumption, percentage"
Brazil,17.2,,17.9,17,,11.3,12.4,12.3,11,11.4,,11.8,10.6,11.2,9.8,8.5,7.6,7.1,6,6.1,,,,,7.2,,8.5,8.1,,5.4,6.2,6.2,5.6,5.7,,6.3,5.5,5.9,5.1,4.6,4.1,4.2,3.4,3.6,,,,,,,,,,,,,,,,,,5.4,,,,6.6,,,
Bulgaria,,,0,,0.2,2,,0.3,,,,2.6,,0,,,,0,,,,,,,,,0,,0.2,0.6,,0.1,,,,0.5,,0,,,,0,,,,,,,,5.6,,3.7,,,,2,,1.3,0.8,1.6,1.5,,,2,2.2,2.6,2.1,,
Burkina Faso,,,,,71.2,,,,70,,,,,56.5,,,,,,44.6,,,,,,,,,34.7,,,,30.2,,,,,20.3,,,,,,14.7,,,,,,,,,,,,,,,,9.1,,,7,,,6.7,,,
Burundi,,,84.2,,,,,,86.4,,,,,,,,81.3,,,,,,,,,,40.2,,,,,,47.3,,,,,,,,36.4,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,
Cambodia,,,,,44.5,,,,,,,,,,37.7,,,32.2,22.8,18.6,,,,,,,,,12,,,,,,,,,,10.2,,,7.7,4.9,3.5,,,,,2.2,,2.5,2.1,,2.2,2,2.1,2.2,2.2,,2.1,2.3,2.3,2.5,2.8,2.6,2.8,2.9,2.9,
Cameroon,,,,,,,24.9,,,,,10.8,,,,,,9.6,,,,,,,,,,,,,6.3,,,,,2.3,,,,,,1.2,,,,,,,,,8.3,,10.2,6.9,,10.1,,,,6.5,,8.7,,,,8.5,,,
Cape Verde,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,5.1,,,,5.9,,,,,7,,,,,,6.7,
Cent African Rep,,,83.2,,,,,,,,,,,62.4,,,,,62.8,,,,,,,,57.4,,,,,,,,,,,28.3,,,,,31.3,,,,,,,,7.9,,,,,,5.1,,,,,,,,9,,,,
Chad,,,,,,,,,,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,,,,,,,,,,,8,,,,,,,,,,6.9,,,6.6,7.5,7.9,
Chile,5.1,,2.7,,3.1,,2.2,,2.4,,2.3,,,2,,,1.1,,,1.4,,,,,1.9,,1.1,,1.4,,0.9,,1,,0.9,,,0.8,,,0.5,,,0.7,,,,,,,,,,,6.6,,,,,6.5,,,,,,6.7,,,
China,60.2,,63.8,53.7,59.8,54.1,36.4,47.8,48,35.6,,,28.4,,,16.3,,,13.1,11.8,,,,,20.7,,28.6,17.7,25.6,22.4,10.7,18.3,18.4,11.1,,,8.7,,,4,,,3.2,2.8,,,,,,,,,,,,,,,7.2,,,,,,,,,,
Colombia,,8.2,6.3,,,,13,,,16.2,17.9,19.2,20.3,19.6,19,12.7,11,8.8,11.3,9.7,8.2,,,,,2.6,4,,,,7.6,,,9.5,11.5,10.9,11.2,10.9,10.1,6.3,5.4,4,5.8,4.7,3.8,,,,,,,,,,,,,,,,4.5,,,,,,,,
Comoros,,,,,,,,,,,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,,,,,,,,2,,,,,,,,,,,5.2,,,,,3.4,,
Congo,,,,,,,,,,,,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,
Costa Rica,8.5,9.7,8.1,6.9,5.8,6,7,5.3,4.2,5.4,5.5,6,6,5.8,5.3,3.9,4,2.2,2.4,3.1,,,,,4.8,5,4.3,4.2,3.2,3.4,3.8,2.7,2.1,2.6,2.8,3.5,3.3,3.1,2.8,1.9,2,1.1,1.5,1.8,,,,,3.6,,3.8,,3.6,,3.7,,3.5,,3.7,,,3.8,,,4.2,,,4.3,
Croatia,,,,,,,,,0.1,0.2,0.1,0.1,,,0.1,,,,0.1,,,,,,,,,,,,,,0.1,0.2,0.1,0,,,0.1,,,,0.1,,,,,,,,,,,,5.3,,,,,,,,,,,,,,
Czech Republic,,,,0,,,0.1,,,,,,,,,,,,,,,,,,,,,0,,,0.1,,,,,,,,,,,,,,,,,,,3.6,3.7,,,,2.4,,,2,1.9,2,1.9,2.1,2.2,2.8,,,2.5,2.7,
Côte d'Ivoire,,,,17.8,,21.1,,,24.1,,,,23.3,,,,,,23.8,,,,,,,,,4,,4.8,,,6.7,,,,6.8,,,,,,7.5,,,,,,8,,,7.4,,,7.2,,,6.4,,,5.5,,,5,,,,4.7,
Dem. Rep. of Congo,,,,,,,,,,,,,,,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,
Djibouti,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Dominican Republic,,,4.7,,,,4.7,5,,,5.2,3.7,5.7,6.6,8.1,6.1,4.2,3.8,3.3,3,2.2,,,,,,1.3,,,,1.7,1.9,,,1.7,1,1.9,2.2,2.5,2.1,1.2,1,0.8,0.7,0.5,,,,3.8,3.6,4,3.9,4,4,3.8,4.2,4.3,3.9,4,3.4,3.4,3.5,3.8,4.1,4,4.3,4.3,3.9,
Ecuador,,,,,14.1,10,,,14.5,23.9,20.7,,,12.2,,9.1,6.1,7.2,6.5,6.4,4.6,,,,,,,,7.1,5.6,,,7.8,11.6,8.6,,,5.5,,4.1,2.5,3.3,3.1,2.9,2.1,,,,,,,7.1,,7.1,,,5.8,,,,5,,,,,,5.6,,
Egypt,,4.5,,,,,2.5,,,,1.8,,,,,2,,,1.7,,,,,,,0.6,,,,,0.3,,,,0.3,,,,,0.4,,,0.4,,,,,,,,,,,,,,9.3,9.2,8.3,8.3,,,8.7,,,,8.1,,
El Salvador,,17.1,,,,10,11.5,,17.4,13.8,,14.4,14.8,13.3,11.5,11.6,5.3,6.6,5.4,9,,,,,,8.8,,,,4.3,4.7,,9.8,7.9,,8.3,8.2,7.4,6.1,6.2,1.7,3,1.9,4.4,,,,,,,,10.4,,,10.2,,,,,,,,,,,,,,
Estonia,,,,0.8,,0.3,,,0.1,,0.6,0.5,0.5,0,0.5,,,,,,,,,,,,,0.4,,0.1,,,0,,0.3,0.2,0.2,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
Ethiopia,,,,,,60.5,,,,,55.6,,,,,39,,,,,,30.7,,,,,,,,21.2,,,,,16.2,,,,,9.6,,,,,,,8.2,,,,,,,,,8.3,,,,,,,,,,,,,
FYR of Macedonia,,,,,,,,,0,,4.3,,0.6,0.5,0.5,0.3,0.9,,0.3,0,0.6,,,,,,,,,,,,0,,0.9,,0.2,0.1,0.1,0,0.2,,0,0,0,,,,,,9.2,6.5,,,8.2,,8,7.9,7.8,7.8,7.6,,6.9,7.3,7.5,7.6,7.6,7.7,
Fiji,,,,,,,,,,,,,,29.2,,,,,,5.9,,,,,,,,,,,,,,,,,,11.3,,,,,,1.1,,,,,,,,,,,,,,,,,6,,,,,,,,
Gabon,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,4.3,,,,4.3,4,,,3.7,4.1,3.8,3.8,3.9,3.8,4,4.4,4.5,4.5,
Gambia,,,,,,,,,65.6,,,,,33.6,,,,,,,,,,,,,,,,,,,33.8,,,,,11.7,,,,,,,,,,,,,,,2.9,3.6,,,3,2.2,3,,,3,,3.1,3.6,3.3,3.7,3.9,
Georgia,,,,,,,4.7,15.7,7.9,17.9,19.3,19.5,15.7,17.7,,16,15.6,15.2,15.3,,18,,,,,,,,,,0.8,5.3,1.8,6,6.5,6,4.6,5.4,,4.8,4.5,4.1,4.6,,5.8,,,,,8.7,,,,,9.5,,,,9,,,,,9,,,9.2,,
Ghana,,,51.1,,,,,,39.1,,,,,,,,28.6,,,,,,,,,,18.3,,,,,,14.4,,,,,,,,9.9,,,,,,,,,2.6,,,,3.7,3.5,,2,2.5,,2.3,2.3,2.7,3.2,3,4.6,4.2,4.5,3.7,
Guatemala,,,,,,,,,16.2,,11.9,,25.8,22.6,24.4,,13.5,,,,,,,,,,,,,,,,5.4,,4.6,,14.4,11.7,13.2,,4.7,,,,,,,,,,,6.4,,8.1,,,7,,6.6,6.9,6.7,6.7,6.8,,,,,,
Guinea,,92.6,,,63.8,,,,,,,,,56.3,,,,43.3,,,,,,,,63.3,,,29.7,,,,,,,,,21.3,,,,15,,,,,,,,,,,,7.2,,,,,9.2,,,,,9.3,,,,,
Guinea-Bissau,,41.3,,52.1,,,,,,,,,48.9,,,,,,,,,,,,,21.7,,20.6,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,6.2,
Guyana,,,,6.9,,,,,8.7,,,,,,,,,,,,,,,,,,,1.5,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,
Haiti,,,,,,,,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,
Honduras,46.9,33,27.3,23.5,35.9,27.3,31.4,20.6,25.5,25.4,,18,28.2,26.2,25.3,26.4,22.9,16.3,21.4,17.9,,,,,22.4,13.1,9.8,8.6,15.2,10.9,13.8,7.4,12.8,12.5,,8.1,14.7,12,11.4,13.3,10.8,6.5,11.8,9.4,,,,,,,,,,,,,,,,,,,,6.2,,,,,
Hungary,,,,0.2,,,,,0.2,0.2,0.2,0.1,0.1,,0.1,,,0.2,,,,,,,,,,0.2,,,,,0.1,0.1,0.1,0.1,0.1,,0.1,,,0.2,,,,,,,,,,,,,,,4,,,,,4.8,,,,,,,
India,,,,,49.4,,,,,,,,,,,41.6,,,,,32.7,,,,,,,,13.6,,,,,,,,,,,10.5,,,,,7.5,,,,,,,,,,6.1,5,6.1,5.3,5.3,5.6,5.6,5.5,,5.4,5.5,6,5.3,,
Indonesia,54.3,,,54.4,,,43.4,,,47.7,,,29.3,,,21.4,28.6,24.2,22.6,20.4,18.1,,,,15.6,,,15.7,,,11.4,,,12.5,,,6,,,4.6,6.7,5.2,4.7,4.1,3.3,,,,,,,,,,,,,,8.5,,,,,,,,,,
Iran,3.9,,,,1.4,,,,1.3,,,,,,,1.5,,,,,,,,,1,,,,0.3,,,,0.2,,,,,,,0.3,,,,,,,,,,,6.7,,,,,,5.6,,,,,,,,5.2,,,,
Iraq,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,
Jamaica,1.3,,,6.5,,,1.8,,,1.3,,,0.3,,0.2,,,,,,,,,,0.1,,,1.7,,,0.5,,,0.3,,,0,,0,,,,,,,,,,,,,,,,,,3.1,,3.5,,1.7,2,2.1,,3.1,,,,
Jordan,,,2.8,,,,,1.5,,,,,,1.2,,,0.4,,0.1,,0.1,,,,,,0.5,,,,,0.3,,,,,,0.2,,,0.1,,0,,0,,,,,3.1,,,5.2,,,,,,,,,6.4,,,,6.4,,,
Kazakhstan,,,,4.2,,,5,,,,,13.6,5.2,3.1,1.7,,0.4,0.2,0.1,0.1,,,,,,,,0.5,,,0.9,,,,,3.7,0.9,0.5,0.3,,0.1,0.1,0,0,,,,,,2.1,,5.2,,,,,,,,,7.3,,,,,,,,
Kenya,,,38.4,,28.5,,,19.6,,,,,,,,43.4,,,,,,,,,,,15.4,,9.4,,,4.6,,,,,,,,16.9,,,,,,,,,,,,4.3,,,,,4.5,,,,,,,,,,,,
Kyrgyzstan,,,,18.6,,,,,31.8,,,,34,,14.2,22.9,5.9,1.9,6.4,6.2,6.7,5,,,,,,8.6,,,,,9,,,,8.8,,2.4,6.5,0.8,0.1,1.5,1.4,1.5,,1.1,,,,,,,,,,,,,2.4,,,,,,,,,
Lao People's Dem. Rep.,,,55.7,,,,,49.3,,,,,44,,,,,,33.9,,,,,,,,16.2,,,,,14.9,,,,,12.1,,,,,,9,,,,,,2.8,3.7,3.9,3.6,3.2,3.1,2.9,3.5,2.1,2.3,,2.7,1.7,2.2,2.2,1.9,2.1,2.8,1.5,2,
Latvia,,,,0,,0,0.4,0.6,0,,,,0,0.4,0.3,,,0.2,0.1,0.2,,,,,,,,0,,0,0,0,0,,,,0,0.2,0.2,,,0.2,0.1,0.1,,,,,,,,9.7,,,,,9.9,9.5,9.6,9.4,9.5,,8.6,,,8.4,,,
Lesotho,,,,56.4,46.2,,,,,,,,,43.4,,,,,,,,,,,,,,30.2,25.6,,,,,,,,,20.8,,,,,,,,,,,,,,,9.1,,,,,,,,,,,8.6,,,,,
Liberia,,,,,,,,,,,,,,,,,,83.8,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,9.4,,,9.5,,,9,,,9.6,,,9.5,,,8.3,,,,,
Lithuania,,,,2.2,,,0,,0.3,,0.3,0.4,0.4,,0.4,,,,0.2,,,,,,,,,0.1,,,0,,0.1,,0.1,0.2,0.2,,0.2,,,,0.1,,,,,,5.2,,,,5.5,,,,5.2,,,,,,,6.4,,,,,
Madagascar,,,,72.5,,,,72,,82.3,,76.3,,,,67.8,,,,,81.3,,,,,,,34.8,,,,32.8,,44.3,,41.4,,,,26.5,,,,,43.3,,,,,,,,,,,,,,,,,,,,,8.7,,,
Malawi,,,,,,,,,83.1,,,,,,73.9,,,,,,61.6,,,,,,,,,,,,46,,,,,,32.3,,,,,,26.2,,,,,,,,,,,,,,7.4,,,,,,,,,,
Malaysia,,,1.6,,,2.1,,0.5,,,,,,,0.5,,,0,,0,,,,,,,0.1,,,0.3,,0.1,,,,,,,0.1,,,0,,0,,,,,,,,,,,,,,,,5.7,,,,,,,,,
Maldives,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,
Mali,,,,,86.1,,,,,,,61.2,,,,,51.4,,,,50.4,,,,,,,,53.1,,,,,,,25.8,,,,,18.8,,,,16.4,,,,5.9,,,6.8,,,6.4,,,5.5,,,4.8,,5.4,,,,,,
Mauritania,,,,42.8,,,23.4,,,,21.2,,,,25.4,,,,23.4,,,,,,,,,14.4,,,7.1,,,,5.7,,,,7,,,,6.8,,,,,,,,,10.6,,,,,,,,,,,,,,,,,
Mexico,,,4.8,,3.6,,7.9,,8.6,,5.5,,3.9,,1.6,,0.7,,1.2,,0.7,,,,,,0.8,,0.5,,1.9,,2.2,,1.5,,0.8,,0.1,,0.1,,0.3,,0.2,,,,,,6,,,,,7.6,,,,,,6.7,,,7.3,,8.1,,
Micronesia (Federated States of),,,,,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,7.5,,,6.8,,,,,5.5,7.2,7.4,8,,8.8,8.7,9.2,9.1,
Montenegro,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.1,,0,,,,,,,,,,,,,,,,,,,0.1,0,0.1,0.1,,0,,,,,,3.4,,5.6,,,6,,,,,,,,4.8,,,,,
Morocco,,2.5,,,,,,,,6.8,,6.3,,,,,,2.5,,,,,,,,0.4,,,,,,,,1.2,,0.9,,,,,,0.5,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,
Mozambique,,,,,,,80.6,,,,,,,74.7,,,,,59.6,,,,,,,,,,,,41.2,,,,,,,35.4,,,,,25.1,,,,,,,,,2.5,,,,,7.2,,,,8.4,,7.7,6,7.8,8.8,6.4,6.8,
Namibia,,,,49.1,,,,,,,,,,,31.9,,,,,,,,,,,,,24.6,,,,,,,,,,,9.5,,,,,,,,,,,,9.3,,,,,8,,,,,8.6,,,,,,7.6,,
Nepal,,,,,,,68,,,,,,,53.1,,,,,,,24.8,,,,,,,,,,25.6,,,,,,,18.4,,,,,,,5.6,,,,,,,9.6,,8,7.7,7.6,7.3,,,,6.9,6.6,6.8,,,6.7,6.6,7,
Nicaragua,,,,18.3,,,,,12.5,,,14.4,,,,11.9,,,,,,,,,,,,5.6,,,,,3.1,,,3.7,,,,2.4,,,,,,,,,,,,2.6,1.5,,,,,,,,,3,,,,,,,
Niger,,,72.8,,78.2,,,,,,,,,,,50.2,,,43.6,,,,,,,,29.7,,38.6,,,,,,,,,,,18.3,,,12.4,,,,,,,,,,,,,,,,,,,,,,,6.4,,,
Nigeria,,,61.9,,,,68.5,,,,,,,,63.1,,,,,,68,54.4,,,,,31.1,,,,32.1,,,,,,,,28.7,,,,,,33.7,,21.8,,,,,8,,,7.8,,8.2,,7.9,7.7,7.7,,6.8,,,,6.6,,
Pakistan,,64.7,,,,,,48.1,,29.1,,,35.9,,,22.6,22.6,,21,,,,,,,23.2,,,,,,11.7,,6.3,,,7.9,,,4.4,4.1,,3.5,,,,,,,,,,,,,,,,8.4,,,,,,,,,,
Panama,,20.9,,,,15.7,,14.6,14.9,,,15.4,11,10.5,9.8,9.5,10.2,,,5.9,6.6,,,,,13.5,,,,10.7,,9,9.8,,,8.4,4.5,4.4,3.9,3.7,4.3,,,1.8,2.1,,,,,,,5.1,,,,6.1,,5.9,,4.9,,,,6.2,,,,,
Papua New Guinea,,,,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,7,,,,,,
Paraguay,1,,,,,11.5,,,13,14.2,,11.1,15.8,10.7,8.1,7.2,10.9,8.8,5.6,7.6,7.2,,,,0.3,,,,,4.8,,,6.2,6.5,,5.3,7.4,4.4,3.1,3,4.1,3.5,2.1,3.2,3,,,,,,4.7,,,4.5,,4.4,,,,,,,6.5,,,4.7,,4.5,
